Clothing ID,mean,count,Smoothed Target
634,0.9230769230769231,13,0.8620377323434464
1021,0.7692307692307693,13,0.8014316717373857
251,0.9230769230769231,13,0.8620377323434464
719,0.8461538461538461,13,0.831734702040416
621,0.9230769230769231,13,0.8620377323434464
947,0.8461538461538461,13,0.831734702040416
155,0.9230769230769231,13,0.8620377323434464
1002,0.6923076923076923,13,0.7711286414343554
382,0.9230769230769231,13,0.8620377323434464
278,1.0,12,0.888976411479179
417,1.0,12,0.888976411479179
943,0.8333333333333334,12,0.826476411479179
252,1.0,12,0.888976411479179
935,0.7272727272727273,11,0.7886208118494752
884,0.6363636363636364,11,0.7563627473333461
843,0.7272727272727273,11,0.7886208118494752
1203,0.8181818181818182,11,0.8208788763656042
229,0.2727272727272727,11,0.62733048926883
622,0.9090909090909091,11,0.8531369408817332
950,0.6363636363636364,11,0.7563627473333461
897,0.9090909090909091,11,0.8531369408817332
1151,1.0,11,0.8853950053978622
1135,0.9090909090909091,11,0.8531369408817332
482,0.36363636363636365,11,0.6595885537849591
479,1.0,10,0.8815748389111243
1146,0.7,10,0.7815748389111243
1147,0.7,10,0.7815748389111243
842,0.6,10,0.748241505577791
332,0.9,10,0.848241505577791
573,0.7,10,0.7815748389111243
948,0.5,10,0.7149081722444577
1133,0.9,10,0.848241505577791
901,1.0,10,0.8815748389111243
904,0.6,10,0.748241505577791
254,0.7,10,0.7815748389111243
641,0.8,10,0.8149081722444577
1039,0.4444444444444444,9,0.7050774195632321
1112,0.7777777777777778,9,0.8085256954253011
932,0.7777777777777778,9,0.8085256954253011
381,0.8888888888888888,9,0.8430084540459907
154,0.7777777777777778,9,0.8085256954253011
994,0.7777777777777778,9,0.8085256954253011
926,0.7777777777777778,9,0.8085256954253011
1134,1.0,9,0.8774912126666803
923,0.8888888888888888,9,0.8430084540459907
1145,0.6666666666666666,9,0.7740429368046113
946,0.2222222222222222,9,0.6361119023218528
215,1.0,9,0.8774912126666803
290,1.0,9,0.8774912126666803
602,0.8888888888888888,9,0.8430084540459907
611,1.0,9,0.8774912126666803
257,0.8888888888888888,9,0.8430084540459907
882,0.8888888888888888,9,0.8430084540459907
129,0.8888888888888888,9,0.8430084540459907
395,1.0,9,0.8774912126666803
1062,0.8888888888888888,9,0.8430084540459907
193,1.0,9,0.8774912126666803
123,1.0,9,0.8774912126666803
1202,1.0,9,0.8774912126666803
1031,0.8888888888888888,9,0.8430084540459907
977,0.5555555555555556,9,0.7395601781839217
997,0.7777777777777778,9,0.8085256954253011
998,0.75,8,0.8016873274047761
166,0.875,8,0.8374016131190618
107,0.875,8,0.8374016131190618
837,0.625,8,0.7659730416904903
172,0.75,8,0.8016873274047761
1119,0.875,8,0.8374016131190618
827,0.5,8,0.7302587559762046
931,0.625,8,0.7659730416904903
930,0.875,8,0.8374016131190618
514,0.375,8,0.6945444702619189
528,0.875,8,0.8374016131190618
377,0.875,8,0.8374016131190618
1013,0.5,8,0.7302587559762046
890,0.875,8,0.8374016131190618
190,0.75,8,0.8016873274047761
816,0.625,8,0.7659730416904903
715,1.0,8,0.8731158988333475
240,0.875,8,0.8374016131190618
1005,0.875,8,0.8374016131190618
24,0.875,8,0.8374016131190618
350,0.5714285714285714,7,0.757305376567916
1045,0.5714285714285714,7,0.757305376567916
357,1.0,7,0.868416487679027
380,0.5714285714285714,7,0.757305376567916
378,1.0,7,0.868416487679027
990,0.7142857142857143,7,0.794342413604953
1063,0.7142857142857143,7,0.794342413604953
662,0.8571428571428571,7,0.83137945064199
920,0.7142857142857143,7,0.794342413604953
636,0.5714285714285714,7,0.757305376567916
262,0.8571428571428571,7,0.83137945064199
619,0.5714285714285714,7,0.757305376567916
279,0.8571428571428571,7,0.83137945064199
928,1.0,7,0.868416487679027
576,0.7142857142857143,7,0.794342413604953
481,0.7142857142857143,7,0.794342413604953
167,1.0,7,0.868416487679027
8,0.5714285714285714,7,0.757305376567916
717,0.8571428571428571,7,0.83137945064199
961,0.8571428571428571,7,0.83137945064199
